Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
971,902.35,0,0
972,102.52,0,0
973,247.77,216.83,84.99
974,447.33,0,0
975,862.27,0,0
976,243.07,102.37,0
977,517.33,0,0
978,324.8,274.93,246.98
979,546.4,108.57,0
980,151.47,0,0
981,583.85,0,0
982,197.99,0,0
983,368.79,0,0
984,332.47,54.58,0
985,529.39,59.74,0
986,210.67,150.23,0
987,307.91,173.36,0
988,317.56,83.78,71.65
989,129.8,129.71,0
990,57.93,0,0
991,205.41,52.84,0
992,324.29,0,0
993,98.38,0,0
994,838.37,0,0
995,795.45,0,0
996,446.09,0,0
997,125.79,101.81,47.65
998,429.69,164.2,155.63
999,1100.59,0,0
1000,358.49,0,0
1001,113.81,103.01,0
1002,439.87,0,0
1003,361.17,322.67,282.04
1004,667.61,0,0
1005,626.14,94.82,0
1006,799.84,0,0
1007,107.99,0,0
1008,195.03,163.6,0
1009,1029.9,0,0
1010,574.8,0,0
1011,350.11,216.02,180.72
1012,270.34,105.92,99.61
1013,288.91,0,0
1014,207.99,79.12,0
1015,592.38,0,0
1016,96.25,0,0
1017,128.19,48.18,0
1018,283.22,0,0
1019,101.71,0,0
1020,1066.64,0,0
1021,444.65,281.22,227.08
1022,537.87,168.1,99.18
1023,136.02,110.1,0
1024,744.61,0,0
1025,132.75,63.72,0
1026,564.74,73.22,0
1027,196.62,186.7,180.05
1028,564.24,0,0
1029,669.62,0,0
1030,1054.68,0,0
1031,142.08,126.86,0
1032,369.35,191.67,144.36
1033,680.31,93.47,0
1034,64.93,45.98,0
1035,154.78,0,0
1036,466.01,0,0
1037,983.2,0,0
1038,644.47,0,0
1039,338.93,0,0
1040,172.78,134.72,0
1041,210.44,0,0
1042,628.49,0,0
1043,75.17,0,0
1044,886.74,0,0
1045,378.76,308.92,279.5
1046,277.82,0,0
1047,275.73,0,0
1048,573.54,0,0
1049,494.66,0,0
1050,238.58,0,0
1051,1035.72,94.97,0
1052,158.99,0,0
1053,208.27,195.67,0
1054,288.15,128.96,101.15
1055,431.93,0,0
1056,317.35,157.57,0
1057,680.13,0,0
1058,235,227.06,224.15
1059,419.5,0,0
1060,144.02,0,0
1061,506.52,0,0
1062,882.16,0,0
1063,275.14,173.24,0
1064,75.7,0,0
1065,396.22,0,0
1066,178.24,155.6,118.67
1067,590.5,0,0
1068,582.44,0,0
1069,591.63,81.16,0
1070,149.72,97.85,0
1071,265.11,134.48,0
1072,539.25,0,0
1073,550.41,73.53,0
1074,341.15,74.11,0
1075,262.96,223.71,132.38
1076,202.43,0,0
1077,72,0,0
1078,180.82,0,0
1079,44.47,0,0
1080,71.3,0,0
1081,441.94,75.68,0
1082,435.19,298.93,278.44
1083,111.97,0,0
